network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
2001:470:5:d::/64,3469034,6252001,,0,0,
2001:470:5:e::/64,6252001,6252001,,0,0,
2001:470:5:f::/64,3996063,6252001,,0,0,
2001:470:5:10::/62,6252001,6252001,,0,0,
2001:470:5:14::/64,3658394,6252001,,0,0,
2001:470:5:15::/64,3469034,6252001,,0,0,
2001:470:5:16::/63,6252001,6252001,,0,0,
2001:470:5:18::/64,1880251,6252001,,0,0,
2001:470:5:19::/64,6252001,6252001,,0,0,
2001:470:5:1a::/64,3469034,6252001,,0,0,
2001:470:5:1b::/64,3895114,6252001,,0,0,
2001:470:5:1c::/64,6252001,6252001,,0,0,
2001:470:5:1d::/64,3469034,6252001,,0,0,
2001:470:5:1e::/64,6252001,6252001,,0,0,
2001:470:5:1f::/64,3625428,6252001,,0,0,
2001:470:5:20::/64,3625428,6252001,,0,0,
2001:470:5:21::/64,3508796,6252001,,0,0,
2001:470:5:22::/63,3469034,6252001,,0,0,
2001:470:5:24::/64,2921044,6252001,,0,0,
2001:470:5:25::/64,3469034,6252001,,0,0,
2001:470:5:26::/64,3703430,6252001,,0,0,
2001:470:5:27::/64,3625428,6252001,,0,0,
2001:470:5:28::/64,3865483,6252001,,0,0,
2001:470:5:29::/64,3895114,6252001,,0,0,
2001:470:5:2a::/63,3469034,6252001,,0,0,
2001:470:5:2c::/64,3624060,6252001,,0,0,
2001:470:5:2d::/64,6252001,6252001,,0,0,
2001:470:5:2e::/64,174982,6252001,,0,0,
2001:470:5:2f::/64,6252001,6252001,,0,0,
2001:470:5:30::/64,3469034,6252001,,0,0,
2001:470:5:31::/64,3686110,6252001,,0,0,
2001:470:5:32::/64,3865483,6252001,,0,0,
2001:470:5:33::/64,3580718,6252001,,0,0,
2001:470:5:34::/64,6252001,6252001,,0,0,
2001:470:5:35::/64,3865483,6252001,,0,0,
2001:470:5:36::/64,3469034,6252001,,0,0,
2001:470:5:37::/64,3932488,6252001,,0,0,
2001:470:5:38::/64,6252001,6252001,,0,0,
2001:470:5:39::/64,3469034,6252001,,0,0,
2001:470:5:3a::/64,3624060,6252001,,0,0,
2001:470:5:3b::/64,3895114,6252001,,0,0,
2001:470:5:3c::/64,6252001,6252001,,0,0,
2001:470:5:3d::/64,1643084,6252001,,0,0,
2001:470:5:3e::/64,6252001,6252001,,0,0,
2001:470:5:3f::/64,690791,6252001,,0,0,
2001:470:5:40::/64,3625428,6252001,,0,0,
2001:470:5:41::/64,6252001,6252001,,0,0,
2001:470:5:42::/63,6252001,6252001,,0,0,
2001:470:5:44::/64,3625428,6252001,,0,0,
2001:470:5:45::/64,3573511,6252001,,0,0,
2001:470:5:46::/64,3686110,6252001,,0,0,
2001:470:5:47::/64,7626836,6252001,,0,0,
2001:470:5:48::/64,6251999,6252001,,0,0,
2001:470:5:49::/64,6252001,6252001,,0,0,
2001:470:5:4a::/64,6252001,6252001,,0,0,
2001:470:5:4b::/64,3932488,6252001,,0,0,
2001:470:5:4c::/64,6252001,6252001,,0,0,
2001:470:5:4d::/64,3608932,6252001,,0,0,
2001:470:5:4e::/64,4566966,6252001,,0,0,
2001:470:5:4f::/64,3625428,6252001,,0,0,
2001:470:5:50::/64,3625428,6252001,,0,0,
2001:470:5:51::/64,6252001,6252001,,0,0,
2001:470:5:52::/64,3625428,6252001,,0,0,
2001:470:5:53::/64,3686110,6252001,,0,0,
2001:470:5:54::/64,3625428,6252001,,0,0,
2001:470:5:55::/64,6252001,6252001,,0,0,
2001:470:5:56::/64,3469034,6252001,,0,0,
2001:470:5:57::/64,6252001,6252001,,0,0,
