network,autonomous_system_number,autonomous_system_organization
240e:3a4:6000::/35,4134,Chinanet
240e:3a4:8000::/33,4134,Chinanet
240e:3a5::/34,4134,Chinanet
240e:3a5:4000::/37,4134,Chinanet
240e:3a5:4800::/38,4134,Chinanet
240e:3a5:4c00::/43,140292,"CHINATELECOM Jiangsu province Suzhou 5G network"
240e:3a5:4c20::/44,140292,"CHINATELECOM Jiangsu province Suzhou 5G network"
240e:3a5:4c30::/44,4134,Chinanet
240e:3a5:4c40::/42,4134,Chinanet
240e:3a5:4c80::/41,4134,Chinanet
240e:3a5:4d00::/40,4134,Chinanet
240e:3a5:4e00::/39,4134,Chinanet
240e:3a5:5000::/38,4134,Chinanet
240e:3a5:5400::/39,4134,Chinanet
240e:3a5:5600::/43,140292,"CHINATELECOM Jiangsu province Suzhou 5G network"
240e:3a5:5620::/44,140292,"CHINATELECOM Jiangsu province Suzhou 5G network"
240e:3a5:5630::/44,4134,Chinanet
240e:3a5:5640::/42,4134,Chinanet
240e:3a5:5680::/41,4134,Chinanet
240e:3a5:5700::/40,4134,Chinanet
240e:3a5:5800::/37,4134,Chinanet
240e:3a5:6000::/35,4134,Chinanet
240e:3a5:8000::/33,4134,Chinanet
240e:3a6::/34,4134,Chinanet
240e:3a6:4000::/37,4134,Chinanet
240e:3a6:4800::/38,4134,Chinanet
240e:3a6:4c00::/40,140292,"CHINATELECOM Jiangsu province Suzhou 5G network"
240e:3a6:4d00::/40,4134,Chinanet
240e:3a6:4e00::/39,4134,Chinanet
240e:3a6:5000::/38,4134,Chinanet
240e:3a6:5400::/39,4134,Chinanet
240e:3a6:5600::/40,140292,"CHINATELECOM Jiangsu province Suzhou 5G network"
240e:3a6:5700::/40,4134,Chinanet
240e:3a6:5800::/37,4134,Chinanet
240e:3a6:6000::/35,4134,Chinanet
240e:3a6:8000::/33,4134,Chinanet
240e:3a7::/32,4134,Chinanet
240e:3a8::/29,4134,Chinanet
240e:3b0::/35,4134,Chinanet
240e:3b0:2000::/37,4134,Chinanet
240e:3b0:2800::/38,4134,Chinanet
240e:3b0:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b0:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b0:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b0:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b0:3e00::/39,4134,Chinanet
240e:3b0:4000::/34,4134,Chinanet
240e:3b0:8000::/34,4134,Chinanet
240e:3b0:c000::/36,4134,Chinanet
240e:3b0:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b0:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b0:dc00::/38,4134,Chinanet
240e:3b0:e000::/35,4134,Chinanet
240e:3b1::/35,4134,Chinanet
240e:3b1:2000::/37,4134,Chinanet
240e:3b1:2800::/38,4134,Chinanet
240e:3b1:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b1:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b1:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b1:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b1:3e00::/39,4134,Chinanet
240e:3b1:4000::/34,4134,Chinanet
240e:3b1:8000::/34,4134,Chinanet
240e:3b1:c000::/36,4134,Chinanet
240e:3b1:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b1:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b1:dc00::/38,4134,Chinanet
240e:3b1:e000::/35,4134,Chinanet
240e:3b2::/35,4134,Chinanet
240e:3b2:2000::/37,4134,Chinanet
240e:3b2:2800::/38,4134,Chinanet
240e:3b2:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b2:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b2:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b2:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b2:3e00::/39,4134,Chinanet
240e:3b2:4000::/34,4134,Chinanet
240e:3b2:8000::/34,4134,Chinanet
240e:3b2:c000::/36,4134,Chinanet
240e:3b2:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b2:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b2:dc00::/38,4134,Chinanet
240e:3b2:e000::/35,4134,Chinanet
240e:3b3::/35,4134,Chinanet
240e:3b3:2000::/37,4134,Chinanet
240e:3b3:2800::/38,4134,Chinanet
240e:3b3:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b3:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b3:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b3:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b3:3e00::/39,4134,Chinanet
240e:3b3:4000::/34,4134,Chinanet
240e:3b3:8000::/34,4134,Chinanet
240e:3b3:c000::/36,4134,Chinanet
240e:3b3:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b3:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b3:dc00::/38,4134,Chinanet
240e:3b3:e000::/35,4134,Chinanet
240e:3b4::/35,4134,Chinanet
240e:3b4:2000::/37,4134,Chinanet
240e:3b4:2800::/38,4134,Chinanet
240e:3b4:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b4:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b4:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b4:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b4:3e00::/39,4134,Chinanet
240e:3b4:4000::/34,4134,Chinanet
240e:3b4:8000::/34,4134,Chinanet
240e:3b4:c000::/36,4134,Chinanet
240e:3b4:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b4:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b4:dc00::/38,4134,Chinanet
240e:3b4:e000::/35,4134,Chinanet
240e:3b5::/35,4134,Chinanet
240e:3b5:2000::/37,4134,Chinanet
240e:3b5:2800::/38,4134,Chinanet
240e:3b5:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b5:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b5:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b5:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b5:3e00::/39,4134,Chinanet
240e:3b5:4000::/34,4134,Chinanet
240e:3b5:8000::/34,4134,Chinanet
240e:3b5:c000::/36,4134,Chinanet
240e:3b5:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b5:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b5:dc00::/38,4134,Chinanet
240e:3b5:e000::/35,4134,Chinanet
240e:3b6::/35,4134,Chinanet
240e:3b6:2000::/37,4134,Chinanet
240e:3b6:2800::/38,4134,Chinanet
240e:3b6:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b6:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b6:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b6:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b6:3e00::/39,4134,Chinanet
240e:3b6:4000::/34,4134,Chinanet
240e:3b6:8000::/34,4134,Chinanet
240e:3b6:c000::/36,4134,Chinanet
240e:3b6:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b6:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b6:dc00::/38,4134,Chinanet
240e:3b6:e000::/35,4134,Chinanet
240e:3b7::/35,4134,Chinanet
240e:3b7:2000::/37,4134,Chinanet
240e:3b7:2800::/38,4134,Chinanet
240e:3b7:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b7:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b7:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b7:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b7:3e00::/39,4134,Chinanet
240e:3b7:4000::/34,4134,Chinanet
240e:3b7:8000::/34,4134,Chinanet
240e:3b7:c000::/36,4134,Chinanet
240e:3b7:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b7:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b7:dc00::/38,4134,Chinanet
240e:3b7:e000::/35,4134,Chinanet
240e:3b8::/35,4134,Chinanet
240e:3b8:2000::/37,4134,Chinanet
240e:3b8:2800::/38,4134,Chinanet
240e:3b8:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b8:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b8:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b8:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b8:3e00::/39,4134,Chinanet
240e:3b8:4000::/34,4134,Chinanet
240e:3b8:8000::/34,4134,Chinanet
240e:3b8:c000::/36,4134,Chinanet
240e:3b8:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b8:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b8:dc00::/38,4134,Chinanet
240e:3b8:e000::/35,4134,Chinanet
240e:3b9::/35,4134,Chinanet
240e:3b9:2000::/37,4134,Chinanet
240e:3b9:2800::/38,4134,Chinanet
240e:3b9:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b9:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b9:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b9:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3b9:3e00::/39,4134,Chinanet
240e:3b9:4000::/34,4134,Chinanet
240e:3b9:8000::/34,4134,Chinanet
240e:3b9:c000::/36,4134,Chinanet
240e:3b9:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b9:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3b9:dc00::/38,4134,Chinanet
240e:3b9:e000::/35,4134,Chinanet
240e:3ba::/35,4134,Chinanet
240e:3ba:2000::/37,4134,Chinanet
240e:3ba:2800::/38,4134,Chinanet
240e:3ba:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3ba:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3ba:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3ba:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3ba:3e00::/39,4134,Chinanet
240e:3ba:4000::/34,4134,Chinanet
240e:3ba:8000::/34,4134,Chinanet
240e:3ba:c000::/36,4134,Chinanet
240e:3ba:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3ba:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3ba:dc00::/38,4134,Chinanet
240e:3ba:e000::/35,4134,Chinanet
240e:3bb::/35,4134,Chinanet
240e:3bb:2000::/37,4134,Chinanet
240e:3bb:2800::/38,4134,Chinanet
240e:3bb:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bb:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bb:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bb:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bb:3e00::/39,4134,Chinanet
240e:3bb:4000::/34,4134,Chinanet
240e:3bb:8000::/34,4134,Chinanet
240e:3bb:c000::/36,4134,Chinanet
240e:3bb:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bb:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bb:dc00::/38,4134,Chinanet
240e:3bb:e000::/35,4134,Chinanet
240e:3bc::/35,4134,Chinanet
240e:3bc:2000::/37,4134,Chinanet
240e:3bc:2800::/38,4134,Chinanet
240e:3bc:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bc:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bc:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bc:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bc:3e00::/39,4134,Chinanet
240e:3bc:4000::/34,4134,Chinanet
240e:3bc:8000::/34,4134,Chinanet
240e:3bc:c000::/36,4134,Chinanet
240e:3bc:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bc:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bc:dc00::/38,4134,Chinanet
240e:3bc:e000::/35,4134,Chinanet
240e:3bd::/35,4134,Chinanet
240e:3bd:2000::/37,4134,Chinanet
240e:3bd:2800::/38,4134,Chinanet
240e:3bd:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bd:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bd:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bd:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bd:3e00::/39,4134,Chinanet
240e:3bd:4000::/34,4134,Chinanet
240e:3bd:8000::/34,4134,Chinanet
240e:3bd:c000::/36,4134,Chinanet
240e:3bd:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bd:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bd:dc00::/38,4134,Chinanet
240e:3bd:e000::/35,4134,Chinanet
240e:3be::/35,4134,Chinanet
240e:3be:2000::/37,4134,Chinanet
240e:3be:2800::/38,4134,Chinanet
240e:3be:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3be:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3be:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3be:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3be:3e00::/39,4134,Chinanet
240e:3be:4000::/34,4134,Chinanet
240e:3be:8000::/34,4134,Chinanet
240e:3be:c000::/36,4134,Chinanet
240e:3be:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3be:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3be:dc00::/38,4134,Chinanet
240e:3be:e000::/35,4134,Chinanet
240e:3bf::/35,4134,Chinanet
240e:3bf:2000::/37,4134,Chinanet
240e:3bf:2800::/38,4134,Chinanet
240e:3bf:2c00::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bf:3000::/37,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bf:3800::/38,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bf:3c00::/39,134774,"CHINANET Guangdong province Shenzhen MAN network"
240e:3bf:3e00::/39,4134,Chinanet
240e:3bf:4000::/34,4134,Chinanet
240e:3bf:8000::/34,4134,Chinanet
240e:3bf:c000::/36,4134,Chinanet
240e:3bf:d000::/37,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bf:d800::/38,134772,"CHINANET Guangdong province Dongguan MAN network"
240e:3bf:dc00::/38,4134,Chinanet
240e:3bf:e000::/35,4134,Chinanet
240e:3c0::/26,4134,Chinanet
240e:400::/29,4134,Chinanet
240e:408::/32,4134,Chinanet
240e:409::/33,4134,Chinanet
240e:409:8000::/36,4134,Chinanet
240e:409:9000::/47,4809,"China Telecom Next Generation Carrier Network"
240e:409:9002::/47,4134,Chinanet
240e:409:9004::/46,4134,Chinanet
240e:409:9008::/45,4134,Chinanet
240e:409:9010::/44,4134,Chinanet
240e:409:9020::/43,4134,Chinanet
240e:409:9040::/42,4134,Chinanet
240e:409:9080::/41,4134,Chinanet
240e:409:9100::/40,4134,Chinanet
240e:409:9200::/39,4134,Chinanet
240e:409:9400::/38,4134,Chinanet
240e:409:9800::/37,4134,Chinanet
240e:409:a000::/35,4134,Chinanet
240e:409:c000::/34,4134,Chinanet
240e:40a::/31,4134,Chinanet
240e:40c::/30,4134,Chinanet
240e:410::/33,4134,Chinanet
240e:410:8000::/34,4134,Chinanet
240e:410:c000::/35,4134,Chinanet
240e:410:e000::/36,4134,Chinanet
240e:410:f000::/37,4134,Chinanet
240e:410:f800::/38,4134,Chinanet
240e:410:fc00::/39,4134,Chinanet
240e:410:fe00::/40,4134,Chinanet
240e:410:ff00::/48,4809,"China Telecom Next Generation Carrier Network"
240e:410:ff01::/48,4134,Chinanet
240e:410:ff02::/47,4134,Chinanet
240e:410:ff04::/46,4134,Chinanet
240e:410:ff08::/45,4134,Chinanet
240e:410:ff10::/44,4134,Chinanet
240e:410:ff20::/43,4134,Chinanet
240e:410:ff40::/42,4134,Chinanet
240e:410:ff80::/41,4134,Chinanet
240e:411::/33,4134,Chinanet
240e:411:8000::/34,4134,Chinanet
240e:411:c000::/35,4134,Chinanet
240e:411:e000::/36,4134,Chinanet
240e:411:f000::/37,4134,Chinanet
240e:411:f800::/38,4134,Chinanet
240e:411:fc00::/39,4134,Chinanet
240e:411:fe00::/40,4134,Chinanet
240e:411:ff00::/48,4809,"China Telecom Next Generation Carrier Network"
240e:411:ff01::/48,4134,Chinanet
240e:411:ff02::/47,4134,Chinanet
240e:411:ff04::/46,4134,Chinanet
240e:411:ff08::/45,4134,Chinanet
240e:411:ff10::/44,4134,Chinanet
240e:411:ff20::/43,4134,Chinanet
240e:411:ff40::/42,4134,Chinanet
240e:411:ff80::/41,4134,Chinanet
240e:412::/31,4134,Chinanet
240e:414::/33,4134,Chinanet
240e:414:8000::/34,4134,Chinanet
240e:414:c000::/35,4134,Chinanet
240e:414:e000::/38,4134,Chinanet
240e:414:e400::/39,4134,Chinanet
240e:414:e600::/40,4134,Chinanet
240e:414:e700::/44,4134,Chinanet
240e:414:e710::/44,4809,"China Telecom Next Generation Carrier Network"
240e:414:e720::/43,4134,Chinanet
240e:414:e740::/42,4134,Chinanet
240e:414:e780::/41,4134,Chinanet
240e:414:e800::/37,4134,Chinanet
240e:414:f000::/36,4134,Chinanet
240e:415::/32,4134,Chinanet
240e:416::/31,4134,Chinanet
240e:418::/29,4134,Chinanet
240e:420::/31,4134,Chinanet
240e:422::/32,4134,Chinanet
240e:423::/42,132225,"China Telecom"
240e:423:40::/42,140061,"Qinghai Telecom"
240e:423:80::/41,140061,"Qinghai Telecom"
240e:423:100::/40,140061,"Qinghai Telecom"
240e:423:200::/39,140061,"Qinghai Telecom"
240e:423:400::/40,140061,"Qinghai Telecom"
240e:423:500::/42,132225,"China Telecom"
240e:423:540::/42,140061,"Qinghai Telecom"
240e:423:580::/41,140061,"Qinghai Telecom"
240e:423:600::/39,140061,"Qinghai Telecom"
240e:423:800::/39,140061,"Qinghai Telecom"
240e:423:a00::/42,132225,"China Telecom"
240e:423:a40::/42,140061,"Qinghai Telecom"
240e:423:a80::/41,140061,"Qinghai Telecom"
240e:423:b00::/40,140061,"Qinghai Telecom"
240e:423:c00::/39,140061,"Qinghai Telecom"
240e:423:e00::/40,140061,"Qinghai Telecom"
240e:423:f00::/42,132225,"China Telecom"
240e:423:f40::/42,140061,"Qinghai Telecom"
240e:423:f80::/41,140061,"Qinghai Telecom"
240e:423:1000::/38,140061,"Qinghai Telecom"
240e:423:1400::/42,132225,"China Telecom"
240e:423:1440::/42,140061,"Qinghai Telecom"
240e:423:1480::/41,140061,"Qinghai Telecom"
240e:423:1500::/40,140061,"Qinghai Telecom"
240e:423:1600::/39,140061,"Qinghai Telecom"
240e:423:1800::/40,140061,"Qinghai Telecom"
240e:423:1900::/42,132225,"China Telecom"
240e:423:1940::/42,140061,"Qinghai Telecom"
240e:423:1980::/41,140061,"Qinghai Telecom"
240e:423:1a00::/39,140061,"Qinghai Telecom"
240e:423:1c00::/39,140061,"Qinghai Telecom"
240e:423:1e00::/42,132225,"China Telecom"
240e:423:1e40::/42,140061,"Qinghai Telecom"
240e:423:1e80::/41,140061,"Qinghai Telecom"
240e:423:1f00::/40,140061,"Qinghai Telecom"
240e:423:2000::/39,140061,"Qinghai Telecom"
240e:423:2200::/40,140061,"Qinghai Telecom"
240e:423:2300::/42,132225,"China Telecom"
240e:423:2340::/42,140061,"Qinghai Telecom"
240e:423:2380::/41,140061,"Qinghai Telecom"
240e:423:2400::/38,140061,"Qinghai Telecom"
240e:423:2800::/42,132225,"China Telecom"
240e:423:2840::/42,140061,"Qinghai Telecom"
240e:423:2880::/41,140061,"Qinghai Telecom"
240e:423:2900::/40,140061,"Qinghai Telecom"
240e:423:2a00::/39,140061,"Qinghai Telecom"
240e:423:2c00::/40,140061,"Qinghai Telecom"
240e:423:2d00::/42,132225,"China Telecom"
240e:423:2d40::/42,140061,"Qinghai Telecom"
240e:423:2d80::/41,140061,"Qinghai Telecom"
240e:423:2e00::/39,140061,"Qinghai Telecom"
240e:423:3000::/39,140061,"Qinghai Telecom"
240e:423:3200::/42,132225,"China Telecom"
240e:423:3240::/42,140061,"Qinghai Telecom"
240e:423:3280::/41,140061,"Qinghai Telecom"
240e:423:3300::/40,140061,"Qinghai Telecom"
240e:423:3400::/39,140061,"Qinghai Telecom"
240e:423:3600::/40,140061,"Qinghai Telecom"
240e:423:3700::/42,132225,"China Telecom"
240e:423:3740::/42,140061,"Qinghai Telecom"
240e:423:3780::/41,140061,"Qinghai Telecom"
240e:423:3800::/38,140061,"Qinghai Telecom"
240e:423:3c00::/42,132225,"China Telecom"
240e:423:3c40::/42,140061,"Qinghai Telecom"
240e:423:3c80::/41,140061,"Qinghai Telecom"
240e:423:3d00::/40,140061,"Qinghai Telecom"
240e:423:3e00::/39,140061,"Qinghai Telecom"
240e:423:4000::/40,140061,"Qinghai Telecom"
240e:423:4100::/42,132225,"China Telecom"
240e:423:4140::/42,140061,"Qinghai Telecom"
240e:423:4180::/41,140061,"Qinghai Telecom"
240e:423:4200::/39,140061,"Qinghai Telecom"
240e:423:4400::/39,140061,"Qinghai Telecom"
240e:423:4600::/42,132225,"China Telecom"
240e:423:4640::/42,140061,"Qinghai Telecom"
240e:423:4680::/41,140061,"Qinghai Telecom"
240e:423:4700::/40,140061,"Qinghai Telecom"
240e:423:4800::/39,140061,"Qinghai Telecom"
240e:423:4a00::/40,140061,"Qinghai Telecom"
240e:423:4b00::/42,132225,"China Telecom"
240e:423:4b40::/42,140061,"Qinghai Telecom"
240e:423:4b80::/41,140061,"Qinghai Telecom"
240e:423:4c00::/38,140061,"Qinghai Telecom"
240e:423:5000::/42,132225,"China Telecom"
240e:423:5040::/42,140061,"Qinghai Telecom"
240e:423:5080::/41,140061,"Qinghai Telecom"
240e:423:5100::/40,140061,"Qinghai Telecom"
240e:423:5200::/39,140061,"Qinghai Telecom"
240e:423:5400::/40,140061,"Qinghai Telecom"
240e:423:5500::/42,132225,"China Telecom"
240e:423:5540::/42,140061,"Qinghai Telecom"
240e:423:5580::/41,140061,"Qinghai Telecom"
240e:423:5600::/39,140061,"Qinghai Telecom"
240e:423:5800::/39,140061,"Qinghai Telecom"
240e:423:5a00::/42,132225,"China Telecom"
240e:423:5a40::/42,140061,"Qinghai Telecom"
240e:423:5a80::/41,140061,"Qinghai Telecom"
240e:423:5b00::/40,140061,"Qinghai Telecom"
240e:423:5c00::/39,140061,"Qinghai Telecom"
240e:423:5e00::/40,140061,"Qinghai Telecom"
240e:423:5f00::/42,132225,"China Telecom"
240e:423:5f40::/42,140061,"Qinghai Telecom"
240e:423:5f80::/41,140061,"Qinghai Telecom"
240e:423:6000::/38,140061,"Qinghai Telecom"
240e:423:6400::/42,132225,"China Telecom"
240e:423:6440::/42,140061,"Qinghai Telecom"
240e:423:6480::/41,140061,"Qinghai Telecom"
240e:423:6500::/40,140061,"Qinghai Telecom"
240e:423:6600::/39,140061,"Qinghai Telecom"
240e:423:6800::/40,140061,"Qinghai Telecom"
240e:423:6900::/42,132225,"China Telecom"
240e:423:6940::/42,140061,"Qinghai Telecom"
240e:423:6980::/41,140061,"Qinghai Telecom"
240e:423:6a00::/39,140061,"Qinghai Telecom"
240e:423:6c00::/39,140061,"Qinghai Telecom"
240e:423:6e00::/42,132225,"China Telecom"
240e:423:6e40::/42,140061,"Qinghai Telecom"
240e:423:6e80::/41,140061,"Qinghai Telecom"
240e:423:6f00::/40,140061,"Qinghai Telecom"
240e:423:7000::/39,140061,"Qinghai Telecom"
240e:423:7200::/40,140061,"Qinghai Telecom"
240e:423:7300::/42,132225,"China Telecom"
240e:423:7340::/42,140061,"Qinghai Telecom"
240e:423:7380::/41,140061,"Qinghai Telecom"
240e:423:7400::/38,140061,"Qinghai Telecom"
240e:423:7800::/42,132225,"China Telecom"
240e:423:7840::/42,140061,"Qinghai Telecom"
240e:423:7880::/41,140061,"Qinghai Telecom"
240e:423:7900::/40,140061,"Qinghai Telecom"
240e:423:7a00::/39,140061,"Qinghai Telecom"
240e:423:7c00::/40,140061,"Qinghai Telecom"
240e:423:7d00::/42,132225,"China Telecom"
240e:423:7d40::/42,140061,"Qinghai Telecom"
240e:423:7d80::/41,140061,"Qinghai Telecom"
240e:423:7e00::/39,140061,"Qinghai Telecom"
240e:423:8000::/39,140061,"Qinghai Telecom"
240e:423:8200::/42,132225,"China Telecom"
240e:423:8240::/42,140061,"Qinghai Telecom"
240e:423:8280::/41,140061,"Qinghai Telecom"
240e:423:8300::/40,140061,"Qinghai Telecom"
240e:423:8400::/39,140061,"Qinghai Telecom"
240e:423:8600::/40,140061,"Qinghai Telecom"
240e:423:8700::/42,132225,"China Telecom"
240e:423:8740::/42,140061,"Qinghai Telecom"
240e:423:8780::/41,140061,"Qinghai Telecom"
240e:423:8800::/38,140061,"Qinghai Telecom"
240e:423:8c00::/42,132225,"China Telecom"
240e:423:8c40::/42,140061,"Qinghai Telecom"
240e:423:8c80::/41,140061,"Qinghai Telecom"
240e:423:8d00::/40,140061,"Qinghai Telecom"
240e:423:8e00::/39,140061,"Qinghai Telecom"
240e:423:9000::/40,140061,"Qinghai Telecom"
240e:423:9100::/42,132225,"China Telecom"
240e:423:9140::/42,140061,"Qinghai Telecom"
240e:423:9180::/41,140061,"Qinghai Telecom"
240e:423:9200::/39,140061,"Qinghai Telecom"
240e:423:9400::/39,140061,"Qinghai Telecom"
240e:423:9600::/42,132225,"China Telecom"
240e:423:9640::/42,140061,"Qinghai Telecom"
240e:423:9680::/41,140061,"Qinghai Telecom"
240e:423:9700::/40,140061,"Qinghai Telecom"
240e:423:9800::/39,140061,"Qinghai Telecom"
240e:423:9a00::/40,140061,"Qinghai Telecom"
240e:423:9b00::/42,132225,"China Telecom"
240e:423:9b40::/42,140061,"Qinghai Telecom"
240e:423:9b80::/41,140061,"Qinghai Telecom"
240e:423:9c00::/38,140061,"Qinghai Telecom"
240e:423:a000::/42,132225,"China Telecom"
240e:423:a040::/42,140061,"Qinghai Telecom"
240e:423:a080::/41,140061,"Qinghai Telecom"
240e:423:a100::/40,140061,"Qinghai Telecom"
240e:423:a200::/39,140061,"Qinghai Telecom"
240e:423:a400::/40,140061,"Qinghai Telecom"
240e:423:a500::/42,132225,"China Telecom"
240e:423:a540::/42,140061,"Qinghai Telecom"
240e:423:a580::/41,140061,"Qinghai Telecom"
